City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ta`u,-14.2336,-169.5144,27.84,79,31,5.52,AS,1683591195
146,isafjordur,66.0755,-23.124,4.94,97,97,2.74,IS,1683591201
147,northam,51.0333,-4.2167,12.56,98,100,3.31,GB,1683591207
148,san felipe,10.3399,-68.7425,23.47,98,90,1.98,VE,1683591213
149,akureyri,65.6835,-18.0878,11.44,81,100,0.85,IS,1683591124
150,wesselsbron,-27.8549,26.3658,12.71,68,0,1.48,ZA,1683591224
151,ocean city,39.2776,-74.5746,20.01,82,98,1.34,US,1683591230
152,tura,25.5198,90.2201,23.14,39,2,1.95,IN,1683591235
153,pacific grove,36.6177,-121.9166,18.23,75,0,5.14,US,1683591241
154,aasiaat,68.7098,-52.8699,-3.88,83,100,4.43,GL,1683591247
155,avarua,-21.2078,-159.775,28.03,74,75,6.17,CK,1683591252
156,mareeba,-17.0,145.4333,23.58,61,58,3.38,AU,1683591258
157,letlhakane,-21.4167,25.5833,17.57,67,37,6.32,BW,1683591264
158,vernon,50.2581,-119.2691,18.75,54,99,1.34,CA,1683590991
159,sisimiut,66.9395,-53.6735,-0.55,85,85,6.16,GL,1683591275
160,klyuchi,52.2667,79.1667,15.55,42,27,2.52,RU,1683591286
161,boende,-0.2167,20.8667,22.37,95,99,1.02,CD,1683591292
162,palmer,42.1584,-72.3287,18.78,32,75,4.63,US,1683591297
163,orizona,-17.0314,-48.2958,18.48,66,9,0.88,BR,1683591303
164,toliara,-23.35,43.6667,22.98,75,54,1.57,MG,1683591061
165,severo-yeniseyskiy,60.3725,93.0408,7.33,75,97,3.41,RU,1683591316
166,puerto wilches,7.3483,-73.896,28.28,79,70,0.8,CO,1683591321
167,petawawa,45.9001,-77.3328,12.66,32,19,2.08,CA,1683591328
168,guiyang,26.5833,106.7167,13.23,95,100,1.48,CN,1683591334
169,tyumentsevo,53.3224,81.498,14.45,47,80,2.37,RU,1683591339
170,grabo,57.8363,12.2995,9.69,65,0,4.63,SE,1683591345
171,huarmey,-10.0681,-78.1522,23.21,85,27,4.76,PE,1683591351
172,port saint john's,-31.6229,29.5448,17.47,87,96,2.56,ZA,1683591356
173,maintirano,-18.0667,44.0167,23.58,85,4,3.84,MG,1683591362
174,vadso,70.0744,29.7487,2.49,87,100,4.63,NO,1683591368
175,kem',64.9555,34.5793,1.87,98,77,3.79,RU,1683591374
176,kayangel,8.0823,134.7173,28.38,74,95,1.63,PW,1683591380
177,puerto deseado,-47.7503,-65.8938,10.11,59,49,6.44,AR,1683591386
178,san luis de la loma,17.2706,-100.8939,30.62,56,1,3.93,MX,1683591391
179,lihue,21.9789,-159.3672,28.58,67,75,7.2,US,1683591397
180,ghat,24.9647,10.1728,29.26,15,86,6.45,LY,1683591403
181,vilyuchinsk,52.9306,158.4028,6.15,89,100,9.82,RU,1683591408
182,khorixas,-20.3667,14.9667,21.42,26,0,1.76,NA,1683591414
183,daru,-9.0763,143.2092,26.34,90,100,7.35,PG,1683591419
